PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1032,1,1,39.2,0,0,21.51,1
1033,1,1,43.3,1,0,26.05,1
1034,2,0,27.9,1,1,28.06,0
1035,3,0,26.1,0,1,9.13,0
1036,1,1,35.2,2,1,14.85,0
1037,2,0,14.7,0,0,13.6,0
1038,3,0,3.9,2,0,11.28,0
1039,3,1,53.1,2,0,17.03,0
1040,1,0,35.0,0,0,23.07,0
1041,3,0,8.8,0,0,18.43,0
1042,3,1,30.4,0,0,37.62,1
1043,2,0,18.3,0,1,7.25,0
1044,3,0,52.7,2,0,8.47,0
1045,2,1,40.2,0,1,22.65,1
1046,3,1,23.1,0,0,11.13,0
1047,3,0,12.7,0,2,16.63,0
1048,1,1,21.1,0,0,57.72,1
1049,1,0,29.5,1,0,24.3,1
1050,3,0,40.2,0,0,33.92,0
1051,1,1,21.3,2,0,25.28,1
1052,1,0,30.1,1,1,133.47,1
1053,3,0,13.6,0,0,39.05,0
1054,3,1,33.2,0,2,30.95,1
1055,3,1,33.7,2,2,11.35,0
1056,3,0,31.4,1,0,11.92,0
1057,1,1,28.4,0,0,27.07,1
1058,3,0,28.6,1,0,18.96,0
1059,3,0,25.3,0,0,22.22,0
1060,1,0,29.0,1,2,173.89,1
1061,2,1,40.8,0,0,48.27,1
1062,3,0,25.2,1,0,14.85,0
1063,2,1,49.9,0,0,11.09,0
1064,1,1,30.5,0,0,13.73,0
1065,3,0,34.0,0,1,7.25,0
1066,3,0,16.4,0,2,90.13,0
1067,2,1,32.6,0,0,59.54,1
1068,1,1,20.4,2,1,23.28,1
1069,3,0,46.5,0,0,8.44,0
1070,1,1,21.4,0,0,33.94,1
1071,1,1,35.6,0,0,135.46,1
1072,3,0,34.7,0,0,24.17,0
1073,2,0,35.3,1,0,10.41,0
1074,1,1,21.8,0,0,124.79,1
1075,3,0,33.9,0,0,12.69,0
1076,3,1,35.1,1,1,124.56,1
1077,3,0,45.4,0,0,25.52,0
1078,3,1,26.0,1,0,42.45,1
1079,3,0,32.9,0,0,17.75,0
1080,3,1,11.7,0,1,75.28,1
1081,3,1,40.7,3,0,19.03,0
1082,3,0,25.2,1,0,11.44,0
1083,2,0,33.5,0,1,22.46,0
1084,3,0,23.7,0,0,30.56,0
1085,3,0,35.9,0,0,31.49,0
1086,3,0,12.2,1,0,8.22,0
1087,1,0,2.4,0,0,25.54,0
1088,2,0,39.5,0,0,14.8,0
1089,3,1,26.8,1,0,48.96,1
1090,1,0,14.7,0,2,40.96,0
1091,3,1,45.3,1,1,102.43,1
1092,2,0,30.4,0,0,107.57,1
1093,3,1,40.2,0,0,15.13,0
1094,3,1,41.9,0,0,11.69,0
1095,1,1,20.2,1,0,55.96,1
1096,3,0,18.4,3,0,9.99,0
1097,3,0,30.4,0,0,26.82,0
1098,2,1,25.0,0,0,21.86,1
1099,3,1,22.1,1,0,26.05,0
1100,1,1,44.8,2,0,21.77,1
1101,3,0,43.0,1,1,41.86,0
1102,3,0,48.1,0,0,15.84,0
1103,1,0,33.6,0,0,7.25,0
1104,2,0,37.8,0,0,24.35,0
1105,1,1,21.1,2,0,328.47,1
1106,2,1,24.9,1,1,131.49,1
1107,2,0,9.3,3,0,13.35,0
1108,2,0,48.2,1,2,56.68,1
1109,2,0,25.0,2,0,21.15,0
1110,2,1,20.5,2,0,89.2,1
1111,3,0,36.1,1,0,8.59,0
1112,3,1,37.3,0,0,44.48,1
1113,3,0,0.9,0,0,10.37,0
1114,1,0,27.4,0,0,34.81,1
1115,2,0,37.2,0,0,36.78,0
1116,2,1,23.8,1,0,22.05,1
1117,3,1,23.8,0,1,110.1,1
1118,1,0,30.1,2,0,18.64,0
1119,2,1,27.6,0,0,169.39,1
1120,1,1,42.9,0,0,15.92,0
1121,1,0,35.5,0,0,7.25,0
1122,3,0,22.9,0,0,41.47,0
1123,3,0,51.0,0,0,83.23,1
1124,3,0,45.4,0,0,9.37,0
1125,1,0,46.4,3,0,24.3,0
1126,3,0,35.2,1,1,20.07,0
1127,2,0,36.5,1,0,24.83,0
1128,3,0,29.0,0,0,19.15,0
1129,2,0,32.6,0,0,26.4,0
1130,1,1,47.7,0,0,73.14,1
1131,2,0,40.1,0,0,55.88,1
1132,1,1,40.3,1,1,71.49,1
1133,3,1,57.3,0,0,21.01,1
1134,3,0,32.4,2,0,7.25,0
1135,3,1,30.2,0,0,10.34,0
1136,3,0,42.9,0,0,27.67,0
1137,2,1,10.6,0,0,25.57,0
1138,1,1,8.9,0,1,201.22,1
1139,1,0,36.7,2,0,23.05,0
1140,3,0,19.6,0,1,71.93,1
1141,1,0,20.0,1,0,34.87,1
1142,1,0,19.9,0,0,73.78,1
1143,3,0,34.6,0,0,40.75,0
1144,3,1,43.5,0,0,9.75,0
1145,3,0,59.7,0,0,7.64,0
1146,3,0,38.4,0,0,10.77,0
1147,2,0,52.2,0,0,12.03,0
1148,3,1,34.0,0,0,43.18,0
1149,2,0,10.8,3,0,24.93,0
1150,2,1,19.5,2,0,65.44,1
1151,2,0,30.3,0,0,18.81,0
1152,2,0,45.2,0,0,52.16,0
1153,3,0,38.9,0,1,52.11,0
1154,2,1,30.3,1,1,27.52,1
1155,1,1,24.3,0,0,39.86,1
1156,3,1,7.1,0,0,14.1,0
1157,3,0,37.6,3,1,17.37,0
1158,3,0,32.1,1,1,13.62,0
1159,3,0,29.7,0,0,11.54,0
1160,2,1,28.3,1,0,76.34,1
1161,3,0,30.9,0,0,17.02,0
1162,3,0,17.2,0,0,13.25,0
1163,3,1,27.0,3,0,19.35,0
1164,2,1,16.7,0,0,76.32,1
1165,1,1,26.3,1,0,23.48,1
1166,3,1,32.9,0,0,79.08,0
1167,1,1,24.0,1,0,25.86,1
1168,3,0,36.7,0,0,11.58,0
1169,1,0,46.5,0,0,44.18,0
1170,3,0,38.0,0,0,31.4,0
1171,1,0,40.9,1,0,10.42,0
1172,1,1,27.8,0,0,26.39,1
1173,1,0,38.5,0,0,17.06,0
1174,2,1,11.5,1,1,53.83,1
1175,2,0,8.6,1,0,40.84,1
1176,3,1,53.9,1,0,79.23,1
1177,1,0,23.1,0,0,18.15,0
1178,3,0,26.3,0,2,7.25,0
1179,2,0,33.4,0,0,11.33,0
1180,2,0,46.4,0,0,10.54,0
1181,2,0,40.3,0,0,31.39,0
1182,1,0,48.3,0,0,23.59,0
1183,2,0,34.7,2,0,39.06,1
1184,3,0,38.0,0,2,7.47,0
1185,2,0,44.9,0,0,15.18,0
1186,2,0,28.1,0,0,44.23,0
1187,3,0,27.4,2,0,38.73,0
1188,2,0,33.9,1,0,102.4,1
1189,3,0,40.6,0,0,54.87,0
1190,3,1,24.1,1,0,17.69,0
1191,3,0,38.6,0,0,17.78,0
1192,3,0,47.8,0,0,8.14,0
1193,3,0,39.8,0,0,91.49,0
1194,2,0,52.7,0,0,22.23,0
1195,3,0,36.1,1,0,7.25,0
1196,1,1,26.5,0,0,41.77,1
1197,3,0,33.0,0,1,45.26,1
1198,3,0,12.6,0,0,26.41,0
1199,3,0,8.1,0,0,7.25,0
1200,1,0,51.0,0,0,19.8,0
1201,1,0,52.1,0,0,115.88,1
1202,2,1,40.1,0,0,32.97,0
1203,2,1,43.4,0,0,15.25,0
1204,3,0,17.7,1,0,23.2,0
1205,3,1,50.2,0,0,46.63,1
1206,1,1,29.7,2,0,39.52,1
1207,3,1,6.8,0,1,121.46,1
1208,3,0,30.6,1,0,15.34,0
1209,3,0,54.0,1,0,7.62,0
1210,1,0,29.7,0,1,10.46,0
1211,2,0,28.4,0,0,30.64,0
1212,3,1,0.9,2,0,12.68,0
1213,3,0,42.5,2,0,19.78,0
1214,2,0,41.3,0,0,8.97,0
1215,3,0,14.7,0,0,12.74,0
1216,1,1,30.4,0,1,60.76,1
1217,1,0,45.9,0,0,27.15,0
1218,2,1,33.2,0,0,54.12,1
1219,1,0,42.8,1,0,17.93,0
1220,3,1,22.6,0,0,8.24,0
1221,2,0,20.6,1,1,42.84,0
1222,2,1,38.6,0,0,62.55,1
1223,3,0,30.0,1,2,13.62,0
1224,3,0,42.9,0,0,20.51,0
1225,3,1,20.0,0,0,61.88,1
1226,2,0,26.6,2,0,8.67,0
1227,3,0,25.8,0,1,22.2,0
1228,3,0,30.0,0,0,79.56,0
1229,3,0,36.9,0,0,15.04,0
1230,3,0,38.5,1,0,7.25,0
1231,3,0,35.2,1,0,19.01,0
1232,3,0,3.4,1,0,17.27,0
1233,3,0,23.1,0,0,36.47,0
1234,2,1,52.0,0,0,23.96,0
1235,2,0,24.1,1,0,232.75,1
1236,2,0,25.0,1,0,8.46,0
1237,1,0,30.4,1,0,76.63,1
1238,2,0,37.7,1,0,41.89,0
1239,1,1,30.2,1,0,150.75,1
1240,3,1,45.4,0,2,19.24,0
1241,1,1,26.6,1,2,22.36,1
1242,3,1,34.2,1,0,97.12,1
1243,3,0,27.6,1,0,11.54,0
1244,1,0,35.8,0,0,7.25,0
1245,2,0,54.9,0,0,21.42,0
1246,1,1,39.4,0,0,142.56,1
1247,3,0,53.2,0,2,7.25,0
1248,2,0,16.9,2,0,25.42,1
1249,3,0,34.1,0,0,20.27,0
1250,3,0,37.6,0,0,45.15,0
1251,2,1,44.5,0,0,86.7,1
1252,2,1,59.2,0,0,59.12,0
1253,2,1,25.9,0,0,24.05,1
1254,1,1,22.8,0,0,215.74,1
1255,3,0,22.0,0,0,10.93,0
1256,1,1,24.3,0,0,109.23,1
1257,3,1,19.0,0,0,47.82,1
1258,2,1,45.0,1,2,17.25,0
1259,1,1,28.3,0,0,47.6,1
1260,2,0,9.0,2,1,115.48,1
1261,3,1,42.6,0,0,7.25,0
1262,3,0,27.5,0,0,15.97,0
1263,2,1,17.3,0,0,24.05,1
1264,3,0,16.8,0,0,21.21,0
1265,3,0,49.3,1,0,42.24,0
1266,1,0,14.3,0,0,20.65,1
1267,2,1,29.3,0,0,22.46,1
1268,2,1,39.6,0,0,84.86,1
1269,2,0,36.6,0,0,33.0,0
1270,3,0,29.3,0,0,11.91,0
1271,3,0,41.5,0,0,25.99,0
1272,1,0,27.0,0,0,8.02,0
1273,2,0,41.1,0,0,7.25,0
1274,2,1,13.2,0,0,263.42,1
1275,2,1,20.9,0,2,21.54,1
1276,1,0,29.9,0,0,8.14,0
1277,1,1,23.6,0,2,146.69,1
1278,3,0,46.3,0,2,79.45,0
1279,2,0,35.8,0,0,12.49,0
1280,3,0,39.3,0,0,15.45,0
1281,1,0,37.5,0,2,12.55,0
1282,2,0,17.1,0,0,15.57,0
1283,3,1,30.9,1,0,136.76,1
1284,2,0,25.0,0,0,16.62,0
1285,3,0,29.6,0,1,28.05,0
1286,3,1,34.5,1,2,10.81,0
1287,2,1,23.9,0,1,237.95,1
1288,2,0,19.2,0,0,30.82,0
1289,2,1,20.2,2,0,130.37,1
1290,3,0,38.2,0,1,9.03,0
1291,3,0,32.2,0,1,45.24,0
1292,2,1,35.9,0,0,21.06,1
1293,3,0,33.5,0,0,7.6,0
1294,1,0,39.4,0,1,39.2,1
1295,3,0,37.7,1,0,7.77,0
1296,3,0,35.6,0,0,7.25,0
1297,3,0,44.9,0,0,7.25,0
1298,3,0,6.4,0,0,7.25,0
1299,1,0,33.8,0,0,7.25,0
1300,1,1,38.0,0,0,41.33,1
1301,3,1,25.7,0,0,70.88,1
1302,3,1,0.9,1,0,68.49,1
1303,1,1,30.2,1,1,88.84,1
1304,2,1,32.7,0,0,37.42,1
1305,3,1,24.4,1,0,7.25,0
1306,2,1,24.1,0,0,120.57,1
1307,2,0,33.0,0,0,7.25,0
1308,2,0,34.4,2,0,15.24,0
1309,1,0,33.5,0,0,25.91,0
